dealer_busts,player_busts,player_loses,draw,player_wins
12,46,56,9,35
9,54,65,8,27
13,43,54,9,37
16,40,52,3,45
10,45,56,10,34
14,47,59,5,36
12,48,54,4,42
11,46,56,13,31
7,54,65,8,27
8,44,56,15,29
13,47,61,7,32
11,47,56,6,38
11,50,61,8,31
14,48,60,2,38
14,44,47,7,46
18,50,55,5,40
11,51,58,4,38
10,60,68,5,27
8,55,65,5,30
6,48,56,12,32
14,34,48,8,44
16,49,61,7,32
19,37,50,6,44
12,49,59,8,33
16,48,56,4,40
18,47,52,6,42
13,45,57,7,36
12,54,59,6,35
13,46,53,7,40
12,48,57,8,35
14,43,50,8,42
12,46,54,8,38
12,44,54,9,37
8,56,65,10,25
12,43,53,12,35
14,50,59,4,37
11,53,60,7,33
11,44,58,6,36
14,48,55,6,39
17,51,61,3,36
8,52,62,4,34
14,40,52,10,38
17,45,53,11,36
20,47,55,4,41
15,45,55,8,37
13,45,53,6,41
8,52,63,4,33
11,53,62,5,33
16,43,52,10,38
15,48,55,5,40
15,47,59,4,37
6,47,59,8,33
12,49,56,6,38
17,42,52,9,39
9,44,57,8,35
14,50,58,10,32
12,56,63,6,31
15,53,62,2,36
13,49,58,8,34
12,46,56,6,38
8,46,56,8,36
12,55,65,6,29
12,46,56,10,34
10,49,61,6,33
12,60,67,6,27
14,40,48,10,42
8,52,60,6,34
16,46,57,3,40
14,42,50,9,41
11,48,60,7,33
16,47,55,6,39
16,44,55,6,39
12,40,52,13,35
13,50,63,4,33
14,43,52,12,36
12,51,57,10,33
19,42,49,10,41
21,45,57,8,35
15,45,59,12,29
11,52,61,6,33
19,53,64,4,32
17,42,54,1,45
12,48,56,8,36
10,43,54,8,38
8,47,56,11,33
12,50,58,8,34
18,45,58,5,37
13,43,54,6,40
11,52,63,7,30
19,41,55,9,36
14,46,54,10,36
14,40,48,12,40
11,42,57,8,35
16,49,55,9,36
9,53,62,8,30
14,52,57,8,35
11,46,53,11,36
13,46,57,4,39
7,43,57,11,32
11,45,59,8,33
12,46,60,4,36
10,42,54,6,40
10,44,55,8,37
12,45,59,6,35
14,51,62,5,33
15,50,55,7,38
17,51,58,3,39
12,36,48,9,43
15,35,47,8,45
17,45,50,9,41
19,43,57,6,37
14,54,62,3,35
17,48,54,6,40
9,48,60,6,34
14,47,57,6,37
16,44,52,9,39
13,46,56,5,39
11,47,51,10,39
12,44,51,7,42
18,48,55,11,34
13,46,51,10,39
13,43,52,11,37
6,48,62,6,32
12,48,58,1,41
11,37,54,13,33
10,50,60,7,33
7,62,69,5,26
13,47,55,11,34
8,48,55,6,39
13,43,57,11,32
13,56,64,4,32
10,48,61,4,35
15,47,58,3,39
21,43,51,10,39
9,56,66,6,28
11,58,61,6,33
7,57,63,5,32
9,49,62,5,33
14,42,52,7,41
10,54,63,5,32
11,57,65,1,34
5,50,61,11,28
17,41,52,1,47
18,49,55,4,41
13,51,60,6,34
9,50,62,6,32
13,40,51,5,44
13,50,60,8,32
14,38,56,7,37
8,52,65,8,27
12,42,50,10,40
11,52,65,6,29
17,45,53,8,39
13,46,57,5,38
13,49,58,7,35
12,44,56,8,36
11,49,58,7,35
9,53,64,5,31
9,47,65,3,32
14,40,47,10,43
18,42,50,9,41
13,44,58,4,38
6,48,62,7,31
10,49,59,7,34
13,40,48,6,46
11,48,54,6,40
16,48,56,7,37
14,50,61,5,34
11,42,53,10,37
8,50,56,7,37
17,43,54,6,40
11,46,49,13,38
11,51,60,8,32
16,46,58,1,41
16,38,48,8,44
12,51,58,3,39
