num_decks,dealer_open,dealer_initial,dealer_hit,dealer_num_hits,dealer_final,dealer_busts,player_inital,player_hit,player_num_hits,player_final,player_busts,player_loses,draw,player_wins,strategy,dealer_hand,player_hand
4,10,15,0,0,15,0,21,0,0,21,0,0,0,1,0,"[10, 5]","['J', 'A']"
4,4,13,1,1,20,0,12,1,1,19,0,1,0,0,0,"[4, 9, 7]","[8, 4, 7]"
4,1,19,0,0,19,0,10,1,2,23,1,1,0,0,0,"['A', 8]","[8, 2, 8, 5]"
4,6,10,1,1,20,0,10,1,1,20,0,0,1,0,0,"[6, 4, 'J']","[6, 4, 10]"
4,10,20,0,0,20,0,15,1,1,19,0,1,0,0,0,"['K', 10]","[10, 5, 4]"
4,6,16,1,1,24,1,20,0,0,20,0,0,0,1,0,"[6, 10, 8]","['J', 10]"
4,7,13,1,2,25,1,12,1,1,21,0,0,0,1,0,"[7, 6, 2, 'Q']","['J', 2, 9]"
4,10,20,0,0,20,0,16,1,1,26,1,1,0,0,0,"['Q', 'K']","[8, 8, 'J']"
4,7,10,0,0,10,0,14,1,1,23,1,1,0,0,0,"[7, 3]","['J', 4, 9]"
4,6,11,1,1,18,0,13,1,2,20,0,0,0,1,0,"[6, 5, 7]","[5, 8, 4, 3]"
